"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
-22.68,-0.00013961,-0.010839,0.00051575,1,1.1139,21.628,7.9714,13.378
-22.68,-0.00022107,-0.010737,0.00062965,1,1.1522,21.603,7.95,13.359
-22.679,-0.00029189,-0.010633,0.00075788,1,1.1905,21.577,7.9285,13.34
-22.679,-0.0003459,-0.010716,0.00070665,1,1.2288,21.551,7.9069,13.322
-22.679,-0.00039041,-0.010834,0.00062709,1,1.267,21.525,7.8852,13.304
-22.679,-0.00042377,-0.010903,0.00047654,1,1.3052,21.499,7.8635,13.287
-22.678,-0.00044739,-0.010926,0.00026066,1,1.3434,21.473,7.8416,13.269
-22.678,-0.00046477,-0.010965,2.8487e-05,1,1.3816,21.447,7.8197,13.252
-22.678,-0.0004727,-0.011054,-0.00026599,1,1.4198,21.421,7.7977,13.235
-22.677,-0.00047788,-0.011142,-0.00055832,1,1.458,21.394,7.7755,13.219
-22.677,-0.00047497,-0.011209,-0.00088638,1,1.4961,21.368,7.7533,13.202
-22.677,-0.00047051,-0.011275,-0.0012153,1,1.5343,21.341,7.731,13.186
-22.677,-0.00046119,-0.011356,-0.0015462,1,1.5725,21.315,7.7086,13.17
-22.676,-0.00045042,-0.011444,-0.0018794,1,1.6106,21.288,7.6861,13.155
-22.676,-0.00043712,-0.011528,-0.0022034,1,1.6488,21.262,7.6636,13.139
-22.676,-0.00042198,-0.011611,-0.0025195,1,1.687,21.235,7.6409,13.124
-22.676,-0.00040643,-0.011698,-0.0028275,1,1.7252,21.209,7.6181,13.108
-22.675,-0.00038891,-0.01179,-0.0031134,1,1.7634,21.182,7.5953,13.093
-22.675,-0.00037164,-0.011882,-0.0033988,1,1.8016,21.155,7.5723,13.078
-22.675,-0.00035273,-0.011975,-0.0036484,1,1.8398,21.129,7.5493,13.064
-22.675,-0.00033465,-0.01207,-0.003903,1,1.8781,21.102,7.5262,13.049
-22.674,-0.0003149,-0.012168,-0.0041183,1,1.9163,21.075,7.503,13.035
-22.674,-0.00029569,-0.012269,-0.0043366,1,1.9546,21.049,7.4797,13.02
-22.674,-0.00027643,-0.012373,-0.0045251,1,1.9935,21.022,7.4558,13.005
-22.674,-0.00025728,-0.012477,-0.0047086,1,2.0318,20.995,7.4322,12.991
-22.673,-0.0002378,-0.012583,-0.0048677,1,2.0702,20.969,7.4087,12.976
-22.673,-0.00021867,-0.012692,-0.0050177,1,2.1087,20.942,7.3851,12.962
-22.673,-0.00019963,-0.012801,-0.0051516,1,2.1468,20.915,7.3616,12.947
-22.673,-0.00018035,-0.012915,-0.0052782,1,2.1857,20.889,7.3376,12.933
-22.672,-0.0001616,-0.01303,-0.0053946,1,2.2243,20.862,7.3137,12.918
-22.672,-0.00014328,-0.013149,-0.0055,1,2.2631,20.835,7.2896,12.904
-22.672,-0.00012513,-0.01327,-0.0056017,1,2.3017,20.809,7.2655,12.889
-22.671,-0.00010746,-0.013393,-0.0056952,1,2.3406,20.782,7.2411,12.875
-22.671,-9.0679e-05,-0.013521,-0.0057856,1,2.3796,20.756,7.2165,12.86
-22.671,-7.4778e-05,-0.013649,-0.0058694,1,2.4184,20.729,7.1919,12.846
-22.671,-5.9133e-05,-0.01378,-0.0059541,1,2.457,20.703,7.1673,12.831
-22.67,-4.5025e-05,-0.013914,-0.0060336,1,2.4957,20.677,7.1426,12.817
-22.67,-3.1469e-05,-0.014051,-0.0061147,1,2.5346,20.651,7.1176,12.803
-22.67,-1.9724e-05,-0.014188,-0.0061935,1,2.5729,20.625,7.0929,12.789
-22.669,-8.2114e-06,-0.014331,-0.006277,1,2.612,20.599,7.0676,12.774
-22.669,5.9799e-08,-0.014474,-0.006357,1,2.6506,20.574,7.0425,12.76
-22.669,7.9281e-06,-0.014622,-0.0064422,1,2.6896,20.548,7.0171,12.745
-22.668,1.3362e-05,-0.014771,-0.0065297,1,2.7286,20.523,6.9917,12.73
-22.668,1.7344e-05,-0.014924,-0.0066202,1,2.7677,20.497,6.9661,12.715
-22.668,1.8201e-05,-0.015078,-0.0067133,1,2.8068,20.471,6.9404,12.701
-22.667,1.7869e-05,-0.015235,-0.0068119,1,2.8459,20.446,6.9146,12.686
-22.667,1.3645e-05,-0.015397,-0.0069146,1,2.8854,20.421,6.8884,12.671
-22.667,6.8774e-06,-0.015561,-0.0070205,1,2.9249,20.395,6.8621,12.655
