"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
424.01,-0.00050015,-0.029464,-0.0011936,1,1.1139,21.628,7.9714,13.378
424.01,-0.00081856,-0.029516,-0.0019986,1,1.1522,21.603,7.95,13.359
424,-0.0011173,-0.029567,-0.0027821,1,1.1905,21.577,7.9285,13.34
424,-0.0013741,-0.02966,-0.0034915,1,1.2288,21.551,7.9069,13.322
424,-0.0016103,-0.029761,-0.0041736,1,1.267,21.525,7.8852,13.304
424,-0.0018167,-0.029885,-0.0048106,1,1.3052,21.499,7.8635,13.287
424,-0.0019968,-0.03003,-0.0054078,1,1.3434,21.473,7.8416,13.269
424,-0.0021583,-0.030185,-0.0059813,1,1.3816,21.447,7.8197,13.252
424,-0.0022895,-0.030369,-0.0065056,1,1.4198,21.421,7.7977,13.235
424,-0.00241,-0.030553,-0.0070234,1,1.458,21.394,7.7755,13.219
424,-0.0024994,-0.03077,-0.0074859,1,1.4961,21.368,7.7533,13.202
424,-0.0025792,-0.030989,-0.0079448,1,1.5343,21.341,7.731,13.186
424,-0.0026365,-0.031229,-0.0083676,1,1.5725,21.315,7.7086,13.17
424,-0.0026815,-0.03148,-0.0087759,1,1.6106,21.288,7.6861,13.155
424,-0.0027107,-0.031744,-0.009164,1,1.6488,21.262,7.6636,13.139
424,-0.0027255,-0.032024,-0.0095344,1,1.687,21.235,7.6409,13.124
424,-0.0027303,-0.032314,-0.0098923,1,1.7252,21.209,7.6181,13.108
424,-0.00272,-0.032621,-0.010229,1,1.7634,21.182,7.5953,13.093
424,-0.0027028,-0.032936,-0.010568,1,1.8016,21.155,7.5723,13.078
424,-0.0026718,-0.033269,-0.010878,1,1.8398,21.129,7.5493,13.064
424,-0.0026358,-0.03361,-0.011196,1,1.8781,21.102,7.5262,13.049
424,-0.002588,-0.033967,-0.011493,1,1.9163,21.075,7.503,13.035
424,-0.0025349,-0.034334,-0.011796,1,1.9546,21.049,7.4797,13.02
423.99,-0.0024761,-0.034722,-0.012084,1,1.9935,21.022,7.4558,13.005
423.99,-0.002412,-0.035115,-0.012376,1,2.0318,20.995,7.4322,12.991
423.99,-0.0023426,-0.035519,-0.012659,1,2.0702,20.969,7.4087,12.976
423.99,-0.0022693,-0.035933,-0.012939,1,2.1087,20.942,7.3851,12.962
423.99,-0.0021931,-0.036355,-0.013215,1,2.1468,20.915,7.3616,12.947
423.99,-0.002113,-0.036796,-0.0135,1,2.1857,20.889,7.3376,12.933
423.99,-0.002032,-0.037244,-0.013784,1,2.2243,20.862,7.3137,12.918
423.99,-0.0019501,-0.037706,-0.014068,1,2.2631,20.835,7.2896,12.904
423.99,-0.0018674,-0.038175,-0.01436,1,2.3017,20.809,7.2655,12.889
423.99,-0.0017858,-0.03866,-0.014659,1,2.3406,20.782,7.2411,12.875
423.99,-0.0017051,-0.039155,-0.01496,1,2.3796,20.756,7.2165,12.86
423.99,-0.0016279,-0.039658,-0.015267,1,2.4184,20.729,7.1919,12.846
423.99,-0.0015515,-0.04017,-0.015584,1,2.457,20.703,7.1673,12.831
423.99,-0.0014805,-0.04069,-0.015905,1,2.4957,20.677,7.1426,12.817
423.99,-0.0014109,-0.041221,-0.016235,1,2.5346,20.651,7.1176,12.803
423.99,-0.0013494,-0.041753,-0.016571,1,2.5729,20.625,7.0929,12.789
423.99,-0.001289,-0.042306,-0.016926,1,2.612,20.599,7.0676,12.774
423.99,-0.0012401,-0.042854,-0.017275,1,2.6506,20.574,7.0425,12.76
423.99,-0.0011936,-0.043419,-0.017643,1,2.6896,20.548,7.0171,12.745
423.98,-0.0011574,-0.043989,-0.018021,1,2.7286,20.523,6.9917,12.73
423.98,-0.0011266,-0.044567,-0.018408,1,2.7677,20.497,6.9661,12.715
423.98,-0.0011082,-0.045148,-0.018804,1,2.8068,20.471,6.9404,12.701
423.98,-0.0010963,-0.045739,-0.019215,1,2.8459,20.446,6.9146,12.686
423.98,-0.001099,-0.046341,-0.019639,1,2.8854,20.421,6.8884,12.671
423.98,-0.0011117,-0.046945,-0.020069,1,2.9249,20.395,6.8621,12.655
423.98,-0.0011388,-0.047556,-0.020512,1,2.9644,20.37,6.8358,12.64
423.98,-0.0011745,-0.048168,-0.02097,1,3.0037,20.346,6.8095,12.625
423.98,-0.0012282,-0.048783,-0.02143,1,3.0432,20.321,6.783,12.609
423.98,-0.0012932,-0.0494,-0.021904,1,3.0828,20.296,6.7565,12.593
